ticket_id,transaction_id,movie_title,genre,rating,branch_name,city,region,customer_type,screen_type,ticket_price,quantity,concession_amount,payment_method,sales_channel,screening_date,screening_time,total_sales
TCK-0001,TXN-CIN-10001,Laughing Shadows,Comedy,PG,CineCity Iloilo,Iloilo City,Western Visayas,Family,Director's Club,700,5,120,GCash,Website,20/03/2026,1:00 pm,3620
TCK-0002,TXN-CIN-10002,Monster Weekend,Horror,R-13,CineCity Iloilo,Iloilo City,Western Visayas,Senior,Premium,304,1,450,Maya,Mobile App,29/03/2026,7:00 pm,754
TCK-0003,TXN-CIN-10003,Monster Weekend,Horror,R-13,CineCity Quezon,Quezon City,NCR,Senior,Premium,304,1,120,Maya,Website,17/01/2026,10:00 pm,424
TCK-0004,TXN-CIN-10004,Masked Hero,Action,PG-13,CineCity Cebu,Cebu City,Central Visayas,PWD,IMAX,440,4,250,Maya,Mobile App,20/01/2026,10:00 pm,2010
TCK-0005,TXN-CIN-10005,Love Behind the Mask,Romance,PG,CineCity Quezon,Quezon City,NCR,Regular,IMAX,550,6,300,Credit Card,Partner Kiosk,07/02/2026,10:00 am,3600
TCK-0006,TXN-CIN-10006,Love Behind the Mask,Romance,PG,CineCity Quezon,Quezon City,NCR,Regular,Regular,280,6,250,GCash,Walk-in,11/03/2026,1:00 pm,1930
TCK-0007,TXN-CIN-10007,Hidden Stage,Drama,PG,CineCity Cebu,Cebu City,Central Visayas,Regular,Regular,280,2,300,Credit Card,Walk-in,23/03/2026,4:00 pm,860
TCK-0008,TXN-CIN-10008,Laughing Shadows,Comedy,PG,CineCity Davao,Davao City,Davao Region,Student,IMAX,495,4,180,Maya,Website,02/01/2026,10:00 am,2160
TCK-0009,TXN-CIN-10009,Laughing Shadows,Comedy,PG,CineCity Iloilo,Iloilo City,Western Visayas,Family,IMAX,550,5,120,Debit Card,Website,30/03/2026,1:00 pm,2870
TCK-0010,TXN-CIN-10010,Laughing Shadows,Comedy,PG,CineCity Quezon,Quezon City,NCR,Senior,Regular,224,1,450,Cash,Mobile App,20/02/2026,10:00 pm,674
TCK-0011,TXN-CIN-10011,Pixel Quest,Animation,G,CineCity Quezon,Quezon City,NCR,Student,Premium,342,4,180,Debit Card,Partner Kiosk,29/01/2026,7:00 pm,1548
TCK-0012,TXN-CIN-10012,Pixel Quest,Animation,G,CineCity Quezon,Quezon City,NCR,Student,IMAX,495,4,120,GCash,Mobile App,16/02/2026,10:00 pm,2100
TCK-0013,TXN-CIN-10013,Hidden Stage,Drama,PG,CineCity Manila,Manila,NCR,Family,IMAX,550,3,250,Cash,Walk-in,02/03/2026,4:00 pm,1900
TCK-0014,TXN-CIN-10014,Laughing Shadows,Comedy,PG,CineCity Quezon,Quezon City,NCR,Student,Premium,342,4,450,Maya,Mobile App,13/03/2026,1:00 pm,1818
TCK-0015,TXN-CIN-10015,Masked Hero,Action,PG-13,CineCity Davao,Davao City,Davao Region,Family,Regular,280,2,120,Debit Card,Mobile App,27/02/2026,7:00 pm,680
TCK-0016,TXN-CIN-10016,Pixel Quest,Animation,G,CineCity Davao,Davao City,Davao Region,Senior,Director's Club,560,2,450,GCash,Partner Kiosk,27/01/2026,7:00 pm,1570
TCK-0017,TXN-CIN-10017,Pixel Quest,Animation,G,CineCity Quezon,Quezon City,NCR,PWD,Premium,304,3,0,Maya,Walk-in,27/03/2026,7:00 pm,912
TCK-0018,TXN-CIN-10018,The Final Screening,Thriller,R-13,CineCity Quezon,quezon city,NCR,Family,IMAX,550,5,0,Credit Card,Partner Kiosk,18/01/2026,10:00 am,2750
TCK-0019,TXN-CIN-10019,Laughing Shadows,Comedy,PG,CineCity Cebu,Cebu City,Central Visayas,Family,Director's Club,700,6,450,Cash,Walk-in,01/03/2026,7:00 pm,4650
TCK-0020,TXN-CIN-10020,Hidden Stage,Drama,PG,CineCity Quezon,Quezon City,NCR,Student,Premium,342,6,250,Maya,Walk-in,12/01/2026,4:00 pm,2302
TCK-0021,TXN-CIN-10021,Hidden Stage,Drama,PG,CineCity Cebu,Cebu City,Central Visayas,Regular,Director's Club,700,2,180,Maya,Website,20/02/2026,10:00 pm,1580
TCK-0022,TXN-CIN-10022,Pixel Quest,Animation,G,CineCity Cebu,Cebu City,Central Visayas,Regular,Regular,280,2,120,Debit Card,Mobile App,25/02/2026,10:00 pm,680
TCK-0023,TXN-CIN-10023,Laughing Shadows,Comedy,PG,CineCity Davao,Davao City,Davao Region,PWD,Premium,304,2,180,GCash,Walk-in,25/01/2026,10:00 am,788
TCK-0024,TXN-CIN-10024,Love Behind the Mask,Romance,PG,CineCity Quezon,Quezon City,NCR,Senior,Premium,304,3,180,Debit Card,Mobile App,02/01/2026,7:00 pm,1092
TCK-0025,TXN-CIN-10025,Laughing Shadows,Comedy,PG,CineCity Cebu,Cebu City,Central Visayas,Family,Director's Club,700,5,180,Cash,Mobile App,23/02/2026,7:00 pm,3680
TCK-0026,TXN-CIN-10026,Pixel Quest,Animation,G,CineCity Iloilo,Iloilo City,Western Visayas,Senior,Premium,304,5,120,Credit Card,Partner Kiosk,01/03/2026,4:00 pm,1640
TCK-0027,TXN-CIN-10027,Midnight Signal ,Sci-Fi,PG-13,CineCity Iloilo,Iloilo City,Western Visayas,Regular,IMAX,550,4,300,Credit Card,Partner Kiosk,12/01/2026,7:00 pm,2500
TCK-0028,TXN-CIN-10028,Masked Hero,Action,PG-13,CineCity Cebu,Cebu City,Central Visayas,Regular,Director's Club,700,6,180,Debit Card,Walk-in,03/01/2026,7:00 pm,4380
TCK-0029,TXN-CIN-10029,Pixel Quest,Animation,G,CineCity Quezon,Quezon City,NCR,Student,Director's Club,630,2,450,Cash,Walk-in,07/02/2026,10:00 pm,1710
TCK-0030,TXN-CIN-10030,Love Behind the Mask,Romance,PG,CineCity Cebu,Cebu City,Central Visayas,PWD,Premium,304,6,120,GCash,Mobile App,23/03/2026,4:00 pm,1944
TCK-0031,TXN-CIN-10031,Pixel Quest,Animation,G,CineCity Iloilo,Iloilo City,Western Visayas,Regular,Premium,380,1,0,Credit Card,Walk-in,28/03/2026,4:00 pm,380
TCK-0032,TXN-CIN-10032,Monster Weekend,Horror,R-13,CineCity Davao,Davao City,Davao Region,PWD,IMAX,440,4,300,Cash,Partner Kiosk,06/01/2026,7:00 pm,2060
TCK-0033,TXN-CIN-10033,Laughing Shadows,Comedy,PG,CineCity Manila,Manila,NCR,Senior,Director's Club,560,5,300,Maya,Website,09/01/2026,7:00 pm,3100
